accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall,learning_rate
0.876166582107544,0.8889971375465393,0.2834412157535553,0.8559770584106445,0.37615057826042175,0.8615225553512573,0.8866877555847168,0.29527369141578674,0.6594250798225403,0.478960782289505,0.0005000000237487257
0.8783472180366516,0.8930380344390869,0.27855631709098816,0.8576482534408569,0.3896319568157196,0.8648449182510376,0.8884443044662476,0.2916983664035797,0.7036876678466797,0.431888222694397,0.0002500000118743628
0.8798169493675232,0.8945156335830688,0.27676674723625183,0.8542973399162292,0.40161246061325073,0.8762195706367493,0.8902392983436584,0.28311485052108765,0.7848443984985352,0.4314100444316864,0.0002500000118743628
0.8811550140380859,0.8954563140869141,0.27535074949264526,0.8571786880493164,0.40862542390823364,0.8730982542037964,0.8903656005859375,0.2814677059650421,0.7629888653755188,0.42912548780441284,0.0002500000118743628
0.8824451565742493,0.8962006568908691,0.2743249535560608,0.8596274256706238,0.41555872559547424,0.8884654641151428,0.8966309428215027,0.2733348608016968,0.912194013595581,0.42168739438056946,0.0002500000118743628
0.8835342526435852,0.8970764875411987,0.27288818359375,0.8637493252754211,0.41999495029449463,0.8588703870773315,0.888796865940094,0.3029472231864929,0.6603803038597107,0.4464987814426422,0.0002500000118743628
0.8842188715934753,0.8976811766624451,0.2722213864326477,0.8653005957603455,0.42346158623695374,0.8648545145988464,0.8882423639297485,0.2966810166835785,0.6985908150672913,0.4398576021194458,0.0002500000118743628
0.8850542306900024,0.8979893326759338,0.27125850319862366,0.8692449331283569,0.4263039827346802,0.8727152347564697,0.8909512758255005,0.2812482714653015,0.7597744464874268,0.4294973909854889,0.0002500000118743628
0.8858752846717834,0.8986006379127502,0.2703339755535126,0.8747726678848267,0.42800408601760864,0.8593778610229492,0.8873430490493774,0.30156409740448,0.6631163954734802,0.4465519189834595,0.0002500000118743628
0.8859303593635559,0.8987748622894287,0.2700812518596649,0.8757069706916809,0.42775171995162964,0.8896527290344238,0.9000136852264404,0.2687833905220032,0.9272748827934265,0.42067793011665344,0.0002500000118743628
0.887129545211792,0.8994215130805969,0.26875635981559753,0.880418598651886,0.4324270486831665,0.8922761678695679,0.9010990262031555,0.2691546380519867,0.9446728825569153,0.4272659718990326,0.0002500000118743628
0.8867561221122742,0.8993162512779236,0.2689834535121918,0.8798913955688477,0.4303683042526245,0.8775121569633484,0.9003375768661499,0.27766168117523193,0.9573661088943481,0.3352459967136383,0.0002500000118743628
0.886404275894165,0.8988271355628967,0.2695906162261963,0.8802601099014282,0.4278712570667267,0.8807004690170288,0.8943197727203369,0.27247658371925354,0.8013452291488647,0.44942089915275574,0.0002500000118743628
0.8876346349716187,0.900128185749054,0.26775261759757996,0.8824751973152161,0.4343396723270416,0.8509713411331177,0.8767922520637512,0.5900910496711731,0.604935884475708,0.49877801537513733,0.0002500000118743628
0.8874766230583191,0.8995888829231262,0.2683252692222595,0.8844689726829529,0.43205514550209045,0.8796472549438477,0.8933268189430237,0.2754007577896118,0.791658878326416,0.4508022665977478,0.0002500000118743628
0.892979621887207,0.9062440991401672,0.25833582878112793,0.8959266543388367,0.4595359265804291,0.874936580657959,0.8921907544136047,0.2856588363647461,0.7449812889099121,0.4653065502643585,0.0001250000059371814
0.8940544128417969,0.9072215557098389,0.256963849067688,0.9010651111602783,0.4629494249820709,0.895244300365448,0.9034283757209778,0.2621535062789917,0.9487529993057251,0.44262033700942993,0.0001250000059371814
0.893920361995697,0.9077050685882568,0.2565497159957886,0.9028615951538086,0.460970401763916,0.8984039425849915,0.9110734462738037,0.2559483051300049,0.9546008110046387,0.45802783966064453,0.0001250000059371814
0.8944661021232605,0.9084795713424683,0.255409300327301,0.904900312423706,0.46306896209716797,0.8980400562286377,0.9073752164840698,0.2628839612007141,0.9583847522735596,0.4539368748664856,0.0001250000059371814
0.8948777914047241,0.90903639793396,0.25456300377845764,0.9039660096168518,0.4662168323993683,0.8999549746513367,0.9092118144035339,0.25811633467674255,0.9366850852966309,0.47710126638412476,0.0001250000059371814
0.8944613337516785,0.908715009689331,0.25524675846099854,0.9036799073219299,0.46381276845932007,0.8988443613052368,0.9144848585128784,0.25967568159103394,0.9540305733680725,0.4608968198299408,0.0001250000059371814
